main_title,studio_company_name,type,total_episodes,date_first_episode_aired,date_last_episode_aired,premiered,source,duration,pg_rating
Violet Evergarden,Toho Animation,ONA,,2017-02-18,,Winter,普通の。,43,PG-13
Charlotte,Sunrise,Movie,1.0,2017-10-07,,Summer,リニア持っていましたハードウェア。,116,PG-13
Sword Art Online,Production I.G,TV,13.0,2017-08-17,2018-02-25,Winter,ホイール行進厳しい。,35,G
One Piece,Studio Pierrot,OVA,40.0,2020-03-26,2020-06-21,Spring,差別する今。,44,R
Rising of the Shield Hero,Sentai Filmworks,TV,,2016-04-22,,Autumn,評議会犯罪者。,60,PG
Ansatsu Kyoushitsu,NHK,Movie,1.0,2021-05-09,,Autumn,ホイール織るヒール。,116,PG
Barakamon,Sentai Filmworks,TV,,2023-02-22,,Spring,副管理する。,31,G
A Silent Voice,Sunrise,OVA,22.0,2016-12-25,2017-08-19,Autumn,トーンアクセルペダル。,43,N-17
Clannad,Sentai Filmworks,Movie,1.0,2016-03-01,,Winter,ベルベット拡張。,155,R
Noragami,Silver Link,TV,,2017-11-07,,Summer,器官アクセルペダルトーン。,53,N-17
Tokyo Ghoul,HIDIVE,TV,,2014-12-18,,Summer,運今日ない。,50,PG
Magi,Toho Animation,ONA,62.0,2024-03-27,2025-02-23,Spring,私衝突。,28,N-17
Your Name,Studio Pierrot,OVA,5.0,2022-10-08,2023-03-06,Summer,ヒールメニューオークション。,33,PG
Nichijou,Yomiuri Telecasting,TV,96.0,2019-02-06,2019-11-17,Spring,中央トーン主人。,53,PG
Fullmetal Alchemist,NHK,TV,,2024-03-28,,Summer,奨励します。,13,N-17
Your Lie in April,Sunrise,ONA,65.0,2024-07-15,2024-09-07,Autumn,サンプル出演者。,16,R
Yowamushi Pedal,Sunrise,ONA,,2016-05-04,,Summer,今日拡張。,20,PG
Free!,Disney+,ONA,5.0,2021-02-19,2021-03-21,Autumn,画面索引リニア。,60,G
Cells at Work,Bandai Visual,OVA,,2018-02-09,,Winter,敵対的なバーゲン。,53,PG
Spy x Family,Shochiku,Movie,1.0,2022-10-22,,Winter,葉柔らかいトレーナー。,148,R
Kakegurui,Disney+,OVA,,2015-12-20,,Summer,ハンマープラスチック本質的な狭い。,16,R
Psycho-Pass,HIDIVE,OVA,,2024-03-10,,Autumn,リフト保証金。,57,PG
Black Clover,Amazon Prime Video,TV,,2020-11-25,,Winter,ダッシュ織る器官。,35,PG-13
Monogatari Series,Shochiku,OVA,,2023-11-03,,Winter,通行料金コミュニケーション。,42,PG-13
Lucky Star,Media Factory,ONA,97.0,2017-05-08,2018-02-23,Winter,持っていました憲法。,20,G
Kuroko's Basketball,Studio Pierrot,TV,,2021-07-27,,Summer,証言する花嫁メニュー。,50,G
Neon Genesis Evangelion,Production I.G,OVA,,2024-09-20,,Winter,編組メニュー。,21,R
Fairy Tail,Toho Animation,TV,,2015-10-11,,Spring,クロス器官怒り編組。,25,PG-13
Saekano,HIDIVE,TV,35.0,2022-07-14,2022-12-24,Autumn,トリビュートマリン。,27,PG
