main_title,studio_company_name,type,total_episodes,date_first_episode_aired,date_last_episode_aired,premiered,source,duration,pg_rating
Violet Evergarden,Toho Animation,ONA,NULL,2017-02-18,NULL,Winter,普通の。,43,PG-13
Charlotte,Sunrise,Movie,1.0,2017-10-07,NULL,Summer,リニア持っていましたハードウェア。,116,PG-13
Sword Art Online,Production I.G,TV,13.0,2017-08-17,2018-02-25,Winter,ホイール行進厳しい。,35,G
One Piece,Studio Pierrot,OVA,40.0,2020-03-26,2020-06-21,Spring,差別する今。,44,R
Rising of the Shield Hero,Sentai Filmworks,TV,NULL,2016-04-22,NULL,Autumn,評議会犯罪者。,60,PG
Ansatsu Kyoushitsu,NHK,Movie,1.0,2021-05-09,NULL,Autumn,ホイール織るヒール。,116,PG
Barakamon,Sentai Filmworks,TV,NULL,2023-02-22,NULL,Spring,副管理する。,31,G
A Silent Voice,Sunrise,OVA,22.0,2016-12-25,2017-08-19,Autumn,トーンアクセルペダル。,43,N-17
Clannad,Sentai Filmworks,Movie,1.0,2016-03-01,NULL,Winter,ベルベット拡張。,155,R
Noragami,Silver Link,TV,NULL,2017-11-07,NULL,Summer,器官アクセルペダルトーン。,53,N-17
Tokyo Ghoul,HIDIVE,TV,NULL,2014-12-18,NULL,Summer,運今日ない。,50,PG
Magi,Toho Animation,ONA,62.0,2024-03-27,2025-02-23,Spring,私衝突。,28,N-17
Your Name,Studio Pierrot,OVA,5.0,2022-10-08,2023-03-06,Summer,ヒールメニューオークション。,33,PG
Nichijou,Yomiuri Telecasting,TV,96.0,2019-02-06,2019-11-17,Spring,中央トーン主人。,53,PG
Fullmetal Alchemist,NHK,TV,NULL,2024-03-28,NULL,Summer,奨励します。,13,N-17
Your Lie in April,Sunrise,ONA,65.0,2024-07-15,2024-09-07,Autumn,サンプル出演者。,16,R
Yowamushi Pedal,Sunrise,ONA,NULL,2016-05-04,NULL,Summer,今日拡張。,20,PG
Free!,Disney+,ONA,5.0,2021-02-19,2021-03-21,Autumn,画面索引リニア。,60,G
Cells at Work,Bandai Visual,OVA,NULL,2018-02-09,NULL,Winter,敵対的なバーゲン。,53,PG
Spy x Family,Shochiku,Movie,1.0,2022-10-22,NULL,Winter,葉柔らかいトレーナー。,148,R
Kakegurui,Disney+,OVA,NULL,2015-12-20,NULL,Summer,ハンマープラスチック本質的な狭い。,16,R
Psycho-Pass,HIDIVE,OVA,NULL,2024-03-10,NULL,Autumn,リフト保証金。,57,PG
Black Clover,Amazon Prime Video,TV,NULL,2020-11-25,NULL,Winter,ダッシュ織る器官。,35,PG-13
Monogatari Series,Shochiku,OVA,NULL,2023-11-03,NULL,Winter,通行料金コミュニケーション。,42,PG-13
Lucky Star,Media Factory,ONA,97.0,2017-05-08,2018-02-23,Winter,持っていました憲法。,20,G
Kuroko's Basketball,Studio Pierrot,TV,NULL,2021-07-27,NULL,Summer,証言する花嫁メニュー。,50,G
Neon Genesis Evangelion,Production I.G,OVA,NULL,2024-09-20,NULL,Winter,編組メニュー。,21,R
Fairy Tail,Toho Animation,TV,NULL,2015-10-11,NULL,Spring,クロス器官怒り編組。,25,PG-13
Saekano,HIDIVE,TV,35.0,2022-07-14,2022-12-24,Autumn,トリビュートマリン。,27,PG
Konosuba,Silver Link,ONA,6.0,2022-07-10,2022-09-05,Autumn,今日意図溝アクセルペダル。,54,PG-13
Overlord,Sunrise,OVA,23.0,2017-02-04,2017-12-22,Winter,普通の溝障害。,25,PG
Demon Slayer,Kadokawa,OVA,59.0,2020-04-30,2020-09-01,Spring,追放するささやき。,59,PG-13
Cowboy Bebop,Pony Canyon,TV,NULL,2020-06-28,NULL,Spring,狭い発生する特徴。,36,R
Mob Psycho 100,Silver Link,ONA,NULL,2021-11-24,NULL,Winter,狐試してみる装置。,45,R
Jujutsu Kaisen,Sunrise,OVA,NULL,2015-12-06,NULL,Winter,保持する狐あった教授。,60,R
Re:Zero,Amazon Prime Video,TV,1.0,2024-08-02,2025-03-07,Summer,敵職人埋め込むコミュニケーション。,18,N-17
No Game No Life,NHK,TV,96.0,2018-05-13,2019-01-04,Spring,画面主人。,22,G
Parasyte,Media Factory,TV,NULL,2024-06-21,NULL,Summer,ヒール脊椎。,56,N-17
Horimiya,Amazon Prime Video,OVA,NULL,2020-07-31,NULL,Autumn,画面ヘア。,22,PG
Nisekoi,Sunrise,TV,100.0,2018-06-04,2019-01-12,Spring,ささやきシェービング。,60,N-17
Dr. Stone,Lerche,ONA,34.0,2018-09-30,2019-01-21,Winter,尊敬する敵対的な葉。,46,R
Hinamatsuri,Toho Animation,ONA,61.0,2018-07-09,2018-11-12,Summer,中央腐った。,12,N-17
Berserk,Yomiuri Telecasting,Movie,1.0,2020-06-02,NULL,Spring,織るキャビンリニア。,125,G
Erased,Pony Canyon,TV,17.0,2019-07-15,2020-06-23,Summer,犯罪者はホイール。,25,PG-13
Fate/Stay Night,HIDIVE,ONA,NULL,2019-09-10,NULL,Summer,主婦私。,56,R
Goblin Slayer,Lerche,TV,39.0,2023-08-20,2023-11-27,Spring,器官。,34,N-17
Code Geass,TV Tokyo,TV,74.0,2022-04-01,2022-09-16,Autumn,不自然な欠乏柔らかい。,49,N-17
Haikyuu!!,Disney+,OVA,NULL,2017-01-19,NULL,Autumn,午前状況ささやき本質的な。,16,R
Dororo,Sunrise,ONA,99.0,2024-01-15,2024-08-31,Winter,知覚軸。,18,N-17
Durarara!!,Sentai Filmworks,Movie,1.0,2015-07-18,NULL,Autumn,探査探査転倒。,177,G
Anohana,Bandai Visual,TV,NULL,2018-04-03,NULL,Winter,電池デッド反射。,16,R
Blue Exorcist,Toho Animation,Movie,1.0,2020-07-12,NULL,Spring,供給反射。,152,PG-13
Steins;Gate,Studio Pierrot,TV,20.0,2017-02-22,2017-10-16,Winter,拡張脊椎今厳しい。,36,R
Chainsaw Man,Toho Animation,ONA,52.0,2022-12-03,2023-09-15,Winter,パンマリン。,51,PG
Attack on Titan,Sunrise,TV,NULL,2022-03-11,NULL,Spring,トレーナー脊椎行進。,41,N-17
Bleach,Studio Pierrot,ONA,NULL,2018-04-17,NULL,Spring,デッド敵対的な移動血まみれの。,50,N-17
Naruto,Sentai Filmworks,OVA,NULL,2022-04-16,NULL,Summer,細かいリフト。,47,G
The Disastrous Life of Saiki K.,NHK,OVA,NULL,2023-10-07,NULL,Winter,助けて符号教授チーズ。,41,G
Made in Abyss,Kadokawa,TV,92.0,2018-04-07,2018-06-28,Winter,トレーナーキャビン催眠術。,29,G
Hunter x Hunter,Pony Canyon,Movie,1.0,2015-10-17,NULL,Summer,索引立派な月。,125,N-17
Gintama,Sentai Filmworks,TV,28.0,2015-10-29,2016-02-11,Autumn,脊椎ソースタワーノート。,12,R
Golden Kamuy,Shochiku,OVA,2.0,2020-04-08,2020-07-15,Winter,狭いチーズ。,38,PG-13
That Time I Got Reincarnated as a Slime,Pony Canyon,Movie,1.0,2024-03-02,NULL,Summer,建築改善トーン。,135,R
Sword Art Online Alternative: Gun Gale Online,Bones,ONA,NULL,2023-08-02,NULL,Autumn,見落とすメニュー状況。,19,G
Oregairu,Studio Pierrot,ONA,NULL,2019-10-22,NULL,Autumn,コミュニケーション陶器。,55,PG
My Hero Academia,Studio Pierrot,TV,76.0,2024-02-02,2024-10-06,Spring,ブランチコミュニケーション。,56,PG-13
Promised Neverland,Yomiuri Telecasting,TV,NULL,2023-10-04,NULL,Winter,敵不自然な。,41,PG
Megalobox,Production I.G,ONA,NULL,2024-03-24,NULL,Winter,リンク織る品質。,18,N-17
Darling in the Franxx,Amazon Prime Video,ONA,NULL,2017-08-12,NULL,Autumn,供給立派な。,41,N-17
Death Note,Amazon Prime Video,Movie,1.0,2022-01-06,NULL,Autumn,血まみれの文言。,131,PG-13
JoJo's Bizarre Adventure,White Fox,OVA,NULL,2023-11-08,NULL,Spring,職人コピー。,32,PG
Mushoku Tensei,Yomiuri Telecasting,OVA,97.0,2016-03-06,2016-07-14,Spring,オークション品質。,54,PG
Vinland Saga,NHK,ONA,13.0,2015-11-05,2016-10-15,Winter,午前中世。,35,PG
Shokugeki no Soma,White Fox,Movie,1.0,2016-09-16,NULL,Autumn,保証金欠乏電話。,171,G
Yuri!!! on Ice,Disney+,Movie,1.0,2016-07-14,NULL,Winter,バナー中央。,109,N-17
Bungo Stray Dogs,Lerche,OVA,3.0,2022-03-20,2022-12-27,Winter,ボトルシュガーささやき。,56,PG
K-On!,Kadokawa,ONA,NULL,2019-10-07,NULL,Autumn,ないアクセルペダル。,25,N-17
Fruits Basket,Disney+,TV,NULL,2022-03-15,NULL,Spring,転倒ダッシュ奨励します。,44,N-17
Black Butler,Shochiku,OVA,NULL,2017-12-21,NULL,Autumn,クロス。,12,R
